Name,Country,Continent,Era,Year(midpoint),Civilization,Religion,Architecture Style,Material,Structure,Area(m2),Preservation,Popularity
Great Temple (Petra),Jordan,Asia,1st century AD,50 AD,Nabataean Kingdom,Nabataean ,Nabataean temple architecture,Sandstone,"dromos, colonnades, theater",7560,Moderate,High
Ajanta Caves,India,Asia,2nd century BCE - 6th century CE,200 CE,Ancient Indian (Buddhist),Buddhism,Rock-cut cave architecture,Basalt,30 caves,82420000,Good,High
Ellora Caves,India,Asia,6th - 10th century CE,800 CE,Rashtrakuta / Yadava India,Hinduism / Buddhism / Jainism,Rock-cut monolithic architecture,Basalt,34 caves,2000000,Good,High
Konark Sun Temple,India,Asia,c. 1250 CE,1250 CE,Eastern Ganga dynasty,Hinduism,Kalinga (temple as chariot),Sandstone / laterite,Temple with 24 wheels and 7 horses,106200,"Partially ruined, preserved",High
Pattadakal,India,Asia,7th - 8th century AD,700 AD,Chalukya India,Hinduism / Jainism,Blend of Nagara / Dravidian styles,Sandstone / carved stone,Group of temples,50000,Good,Moderate
Khajuraho Group of Monuments,India,Asia,950-1050 AD,1000 AD,Chandela dynasty,Hinduism / Jainism,Nagara temple architecture,Sandstone,23 temples,210000,Good,High
Hampi Monuments,India,Asia,14th - 16th centuries,1450 AD,Vijayanagara Empire,Hinduism,Dravidian / urban architecture,"Granite, brick, lime mortar","City ruins, temples, palaces",41870000,Ruins preserved,Very high
Qutb Minar,India,Asia,c. 1193 - 1369 CE,1281 CE,Delhi Sultanate,Islam,Indo-Islamic architecture,"Red sandstone, marble ","Minaret, mosque, tombs",50000,Good,Very high
Chittorgarh Fort,India,Asia,7th century AD,650 AD,Mewar (Rajput polity),Hinduism,Rajput hill-fort architecture,Stone masonry,Fort complex,2800000,Good,High
Great Living Chola Temples,India,Asia,11th - 12th centuries,1100 AD,Chola Empire,Hinduism,Dravidian (Chola) temple architecture,Granite,3 major temples,219000,Excellent,Moderate-High
Sanchi Stupa,India,Asia,3rd century BCE,250 BCE,Mauryan,Buddhism,Stupa architecture (Mauryan),"Brick, stone ",Great Stupa & smaller stupas,50000,Good,High
Temple of the Winged Lions,Jordan,Asia,1st century AD,50 AD,Nabataean Kingdom,Nabataean ,Nabataean temple architecture,Sandstone ,Temple complex with cult rooms,2000,Moderate,Low-Moderate
Blue Pillar Chapel,Jordan,Asia,5th century AD,450 AD,Nabataean Kingdom,Nabataean,Rock-cut chapel architecture,Sandstone,Chapel structure,100,Moderate,Low
Obelisk Tomb & Bab as-Siq,Jordan,Asia,1st century AD,50 AD,Nabataean Kingdom,Funerary,Nabataean rock-cut tomb,Sandstone,Tomb and monumental,100,Good,Moderate-High
The Royal Tombs,Jordan,Asia,1st century BCE - 2nd century CE,50 CE,Nabataean Kingdom,Funerary,Nabataean rock-cut tomb,Sandstone,Series of royal tombs,100,Moderate,Moderate
The Temenos Gate,Jordan,Asia,1st - 2nd century AD,100 AD,Roman ,Roman / Nabataean,Masonry & sandstone,Sandstone,triple-arched gateway,100,Moderate,Low-Moderate
The Nabataean Theatre,Jordan,Asia,1st century AD,50 AD,Nabataean Kingdom,Theatre,"Rock-cut, masonry",Sandstone,Carved amphitheater,1000,Good,High
Facade Tombs,Jordan,Asia,1st century BCE - 2nd century CE,50 CE,Nabataean Kingdom,Funerary,Nabataean rock-cut tomb,Sandstone,Multiple tomb,100,Good,Moderate
Al-Khazneh,Jordan,Asia,1st century AD,50 AD,Nabataean Kingdom,Nabataean,Sandstone rock-cut,Sandstone,"Carved facade, treasury",50,Excellent,Very high
Great Wall of China,China,Asia,7th century BCE - 16th century CE,500 CE,Ming & Qing Dynasties,Secular,Military Defensive fortification,"Stone, brick",Wall system with watchtowers,48008000,Good,Very high
Forbidden City,China,Asia,15th century CE,1500 CE,Ming & Qing Dynasties,Confucian,Imperial Chinese palace architecture,"Wood, stone",Palace complex with courtyards,720000,Excellent,Very high
Terracotta Army ,China,Asia,3rd century BCE,220 BCE,Qin Dynasty,Ancestor worship,Funerary sculptural architecture,"Terracotta, earth",Pits containing life-size warriors,200000,Good,Very high
Mogao Caves,China,Asia,4th-14th century CE,900 CE,Ancient Chinese,Buddhism,Rock-cut cave & mural architecture,Sandstone,492 caves with sculptures,45000,Good,High
Potala Palace,China,Asia,7th-17th century CE,1650 CE,Tibetan Empire,Buddhism,Tibetan monastic-palace architecture,"Stone, wood, rammed earth",Palace & monastery complex,130000,Good,Very high
Ming Xiaoling Mausoleum,China,Asia,14th century CE,1400 CE,Ming Dynasty,Ancestor worship,Imperial mausoleum,"Stone, brick",Mausoleum with pavilions,1700000,Good,High
Longmen Grottoes,China,Asia,5th-10th century CE,700 CE,Wei to Tang Dynasty,Buddhism,Rock-cut grotto architecture,Limestone,"100,000+ statues & 2,300 caves",3310000,Good,High
Temple of Heaven,China,Asia,15th century CE,1500 CE,Ming Dynasty,Heaven Worship / Confucian,Chinese ceremonial architecture,"Wood, stone",Ceremonial temples & altars,2700000,Excellent,Very high
Mount Tai,China,Asia,11th century BCE,1000 BCE,Ancient Chinese,Cults of Heaven & Earth,Mountain temple architecture,"Wood, stone","Mountain shrines, gates",250000000,Good,High
Ancient City of Pingyao,China,Asia,14th century CE,1400 CE,Ming Dynasty,Confucian,Chinese urban fortification,"Brick, timber","Walled city, towers",2250000,Good,High
Colosseum,Italy,Europe,1st century CE,80 CE,Roman Empire,Roman polytheism,Ancient Roman amphitheatre,"Travertine limestone, concrete, tuff",Flavian Amphitheatre,24000,Moderate,Very high
Acropolis of Athens,Greece,Europe,5th century BCE,450 BCE,Ancient Greece,Greek polytheism,Classical Greek temple,Marble,Temple complex on acropolis,25000,Good,Very high
Stonehenge,United Kingdom,Europe,3000-2000 BCE,2500 BCE,Neolithic ,Britain Prehistoric,Neolithic megalithic,"Sarsen stone, bluestone",Megalithic stone circle,7850,Moderate,Very high
Mont-Saint-Michel,France,Europe,8th century CE - Medieval,1100 CE,Frankish Norman Christian,Christianity,Gothic abbey & medieval fortified,"Granite, limestone","Abbey, cloister, fortified town",70000,Excellent,Very high
Alhambra,Spain,Europe,13th-14th century CE,1350 CE,Nasrid Dynasty,Islamic,Moorish palace architecture,"Stucco, marble, wood, tiles","Palaces, courtyards, fortress",142000,Good,Very high
Clonmacnoise Monastic Site,Ireland,Europe,6th-12th century CE,900 CE,Early Christian Ireland,Christianity,Medieval monastic stone,Sandstone,"Churches, round towers, crosses",250000,Good,Moderate
Schönbrunn Palace,Austria,Europe,17th-18th century CE,1740 CE,Habsburg Monarchy,Christianity,Baroque palace,"Stone, stucco",Palace with gardens,52000,Excellent,High
Chartres Cathedral,France,Europe,12th-13th century CE,1220 CE,Medieval France,Christianity,Gothic cathedral architecture,Limestone,High Gothic cathedral,5800,Excellent,High
Neuschwanstein Castle,Germany,Europe,19th century CE,1885 CE,Kingdom of Bavaria,Christianity,Romanesque Revival castle,"Brick, limestone",Castle with towers and halls,6000,Excellent,Very high
Pompeii Archaeological Site,Italy,Europe,6th century BCE - 79 CE,50 CE,Roman Empire,Roman polytheism,Roman urban & domestic,"Stone, plaster, brick",Excavated ancient city,640000,Good,Very high
Great Zimbabwe Ruins,Zimbabwe,Africa,11th–15th century CE,1300 CE,Kingdom of Zimbabwe,Indigenous,Dry-stone masonry,Granite,Hill complex & Great Enclosure,800000,Moderate,High
Pyramids of Giza,Egypt,Africa,26th century BCE,2500 BCE,Ancient Egypt,Egyptian polytheism,Ancient Egyptian monumental,"Limestone, granite","Pyramids, mortuary temples",1000000,Good,Very high
Lalibela Rock-Hewn Churches,Ethiopia,Africa,12th–13th century CE,1200 CE,Zagwe Dynasty,Christianity,Monolithic rock-cut,Volcanic tuff,11 rock-cut churches,43700,Good,High
Timbuktu,Mali,Africa,12th–16th century CE,1400 CE,Mali Empire,Islam,Sudano-Sahelian mud architecture,"Mudbrick, wood","Mosques, libraries",90000,Moderate,High
Carthage,Tunisia,Africa,9th century BCE – 7th century CE,200 BCE,Phoenician,Christianity / Greco-Roman,Punic & Roman urban architecture,"Stone, marble","City ruins, baths, port",3000000,Moderate,High
Tigray Rock-Hewn Churches,Ethiopia,Africa,4th–15th century CE,900 CE,Aksumite & Ethiopian,Christianity,Rock-cut cave churches,"Sandstone, volcanic rock",120+ rock-hewn churches,60000,Moderate,Moderate
Leptis Magna,Libya,Africa,7th century BCE – 3rd century CE,200 CE,Roman Africa,Greco-Roman,Roman imperial architecture,"Limestone, marble","City ruins, theatre, basilica",4000000,Moderate,High
Medina of Fez,Morocco,Africa,13th–15th century CE,1350 CE,Idrisid / Marinid Dynasty,Islam,Medieval Islamic urban,"Stone, brick, wood","Medersa, mosques, souks",3500000,Good,Very high
Kilwa Kisiwani,Tanzania,Africa,9th–16th century CE,1300 CE,Swahili Civilization,Islam,Coral stone urban architecture,"Coral rag, lime","Palaces, mosques, port",1000000,Moderate,Moderate
Mapungubwe,South Africa,Africa,9th–14th century CE,1200 CE,Kingdom of Mapungubwe,Indigenous,Hill settlement & stone walls,"Sandstone, soil",Royal hill complex,2800000,Good,Moderate
